ticker,date,estimate,actual,surprise
HDFCBANK.NS,2021-01-16,8.83,7.9,-0.10532276330690823
HDFCBANK.NS,2020-10-17,8.03,6.8,-0.15317559153175586
INFY.NS,2026-07-23,19.12,19.17,0.0026150627615063133
INFY.NS,2026-04-23,18.39,20.98,0.14083741163675909
INFY.NS,2026-01-14,17.89,18.5,0.034097261039686945
INFY.NS,2025-10-16,17.36,17.74,0.02188940092165893
INFY.NS,2025-07-23,16.33,16.68,0.021432945499081535
INFY.NS,2025-04-17,16.06,16.94,0.05479452054794537
INFY.NS,2025-01-16,16.19,16.39,0.0123533045089561
INFY.NS,2024-10-17,16.37,15.68,-0.0421502748930972
INFY.NS,2024-07-18,15.08,15.35,0.0179045092838196
INFY.NS,2024-04-18,14.94,19.22,0.286479250334672
INFY.NS,2024-01-11,14.78,14.74,-0.0027063599458727436
INFY.NS,2023-10-12,15.13,14.99,-0.00925313945803044
INFY.NS,2023-07-20,14.83,14.35,-0.0323668240053945
INFY.NS,2023-04-13,15.78,14.77,-0.06400506970849175
INFY.NS,2023-01-12,15.52,15.7,0.011597938144329878
INFY.NS,2022-10-13,14.09,14.34,0.017743080198722498
INFY.NS,2022-07-24,13.44,12.76,-0.050595238095238075
INFY.NS,2022-04-13,14.16,13.54,-0.043785310734463345
INFY.NS,2022-01-12,13.56,13.83,0.01991150442477873
INFY.NS,2021-10-13,12.45,12.85,0.03212851405622493
INFY.NS,2021-07-14,12.64,12.21,-0.034018987341772125
INFY.NS,2021-04-14,12.17,11.94,-0.01889893179950702
INFY.NS,2021-01-13,11.89,12.23,0.028595458368376774
INFY.NS,2020-10-14,10.62,11.4,0.07344632768361593
ICICIBANK.NS,2026-07-18,18.67,20.42,0.09373326191751472
ICICIBANK.NS,2026-04-18,17.91,18.9,0.05527638190954765
ICICIBANK.NS,2026-01-17,17.19,15.62,-0.0913321698662014
ICICIBANK.NS,2025-10-18,16.98,17.06,0.004711425206124752
ICICIBANK.NS,2025-07-19,16.91,17.63,0.0425783560023654
